L_1,L_2,L_3
11.3,13.5,18
11,14,17
10,12,18
13,15,18
14,16,18.7
11,16,18.9
13,15,15.6
12,17,15
9,15,16.5
9.7,9.8,16.9
9.3,10.3,17
9.8,10,17.1
10,11,17
11,13,19
16,13,18
15,13.5,17
13,14,17.5
13,13,16
11.5,13,16.5
10.5,14.5,14
12,15,15
12,15,15.5
11,14.5,15
11,13,17
11.5,12.5,17.8
11,13,17.3
13,12.5,17.3
9,15,18
9,15,18.5
13,14.5,17
13.2,14,15
13.2,14,16
12,14,16.5
12,16,16.4
9,16,17
9.3,15,16
14.5,14.9,18.5
11,15,19
13,14,18
9,13,18
16,13.9,18
15,15,17.6
11,14.5,16
10.5,14.9,18
10.3,13,16
11.2,15,16.9
12,14,16.5
16,13.9,17
14.2,13.6,18
12,14,17.5
