Th_1,Th_2,Th_3,Th_4,Th_5,Th_11,Th_22,Th_33,Th_44,Th_55
26,26,21,24,23,208,208,168,192,184
26,26,21,21,23,208,208,168,168,184
26,26,20,23,23,208,208,160,184,184
23,26,23,23,24,184,208,184,184,192
23,26,23,23,24,184,208,184,184,192
21,26,23,23,24,168,208,184,184,192
22,24,24,23,24,176,192,192,184,192
21,24,24,24,26,168,192,192,192,208
21,24,24,24,26,168,192,192,192,208
21,23,24,24,26,168,184,192,192,208
22,23,26,24,26,176,184,208,192,208
20,23,26,24,26,160,184,208,192,208
21,23,26,24,25,168,184,208,192,200
22,23,26,26,25,176,184,208,208,200
23,23,26,26,17,184,184,208,208,136
23,23,26,26,24,184,184,208,208,192
23,23,26,26,24,184,184,208,208,192
26,23,26,26,24,208,184,208,208,192
26,24,26,25,24,208,192,208,200,192
21,24,26,25,26,168,192,208,200,208
20,24,26,17,26,160,192,208,136,208
21,24,26,17,26,168,192,208,136,208
21,24,24,23,26,168,192,192,184,208
22,24,24,23,26,176,192,192,184,208
20,24,24,21,26,160,192,192,168,208
23,24,24,21,24,184,192,192,168,192
16,21,25,21,24,128,168,200,168,192
26,21,25,20,24,208,168,200,160,192
26,21,25,23,24,208,168,200,184,192
23,16,17,23,25,184,128,136,184,200
26,16,23,20,25,208,128,184,160,200
22,22,23,16,26,176,176,184,128,208
22,22,23,22,26,176,176,184,176,208
21,22,23,20,26,168,176,184,160,208
21,22,23,26,23,168,176,184,208,184
21,23,16,26,23,168,184,128,208,184
21,23,20,26,23,168,184,160,208,184
26,23,20,26,23,208,184,160,208,184
26,21,20,26,26,208,168,160,208,208
23,21,26,26,21,184,168,208,208,168
26,21,26,16,26,208,168,208,128,208
26,21,26,17,23,208,168,208,136,184
26,21,26,23,23,208,168,208,184,184
23,24,26,23,23,184,192,208,184,184
23,24,23,23,23,184,192,184,184,184
23,24,23,23,23,184,192,184,184,184
23,24,23,21,23,184,192,184,168,184
26,24,23,23,24,208,192,184,184,192
21,24,21,23,24,168,192,168,184,192
26,26,20,21,21,208,208,160,168,168
