,Ozone
1,41
2,36
3,12
4,18
5,NA
6,28
7,23
8,19
9,8
10,NA
11,7
12,16
13,11
14,14
15,18
16,14
17,34
18,6
19,30
20,11
21,1
22,11
23,4
24,32
25,NA
26,NA
27,NA
28,23
29,45
30,115
31,37
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,29
39,NA
40,71
41,39
42,NA
43,NA
44,23
45,NA
46,NA
47,21
48,37
49,20
50,12
51,13
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,135
63,49
64,32
65,NA
66,64
67,40
68,77
69,97
70,97
71,85
72,NA
73,10
74,27
75,NA
76,7
77,48
78,35
79,61
80,79
81,63
82,16
83,NA
84,NA
85,80
86,108
87,20
88,52
89,82
90,50
91,64
92,59
93,39
94,9
95,16
96,78
97,35
98,66
99,122
100,89
101,110
102,NA
103,NA
104,44
105,28
106,65
107,NA
108,22
109,59
110,23
111,31
112,44
113,21
114,9
115,NA
116,45
117,168
118,73
119,NA
120,76
121,118
122,84
123,85
124,96
125,78
126,73
127,91
128,47
129,32
130,20
131,23
132,21
133,24
134,44
135,21
136,28
137,9
138,13
139,46
140,18
141,13
142,24
143,16
144,13
145,23
146,36
147,7
148,14
149,30
150,NA
151,14
152,18
153,20
