No of observation ,Throughput in B,Throughput,RSSI,SNR,Header Size,Latency,Jitter Calculation,
1,26,208,NA,NA,16,11.3,,
2,26,208,-201,-8,16,11,0.3,
3,26,208,-121,-5,16,10,1,
4,23,184,NA,NA,13,13,3,
5,23,184,NA,NA,13,14,1,
6,21,168,-201,-5,11,11,3,
7,22,176,-205,-3,12,13,2,
8,21,168,NA,NA,11,12,1,
9,21,168,-206,-1,11,9,3,
10,21,168,-121,-4,11,9.7,0.7,
20,22,176,-121,-4,12,9.3,0.4,
22,20,160,-122,-3,10,9.8,0.5,
21,21,168,NA,NA,11,10,0.2,
14,22,176,-205,-1,12,11,1,
15,23,184,NA,NA,13,16,5,
16,23,184,-206,-3,13,15,1,
17,23,184,-205,-2,13,13,2,
18,26,208,-109,-4,16,13,0,
19,26,208,-201,-4,16,11.5,1.5,
20,21,168,-201,-8,11,10.5,1,
21,20,160,NA,NA,10,12,1.5,
22,21,168,-200,0,11,12,0,
23,21,168,-109,0,11,11,1,
24,22,176,-105,0,12,11,0,
25,20,160,-109,0,10,11.5,0.5,
26,23,184,-207,0,13,11,0.5,
27,16,128,-208,-3,6,13,2,
28,26,208,-104,-2,16,9,4,
29,26,208,-201,-3,16,9,0,
30,23,184,NA,NA,13,13,4,
31,26,208,-204,-1,16,13.2,0.2,
32,22,176,-204,-4,12,13.2,0,
33,22,176,-205,-4,12,12,1.2,
34,21,168,NA,NA,11,12,0,
35,21,168,-108,-6,11,9,3,
36,21,168,-107,-5,11,9.3,0.3,
37,21,168,-104,-4,11,14.5,5.2,
38,26,208,NA,NA,16,11,3.5,
39,26,208,NA,NA,16,13,2,
40,23,184,-201,-2,13,9,4,
41,26,208,-205,0,16,16,7,
42,26,208,-205,-1,16,15,1,
43,26,208,-107,-2,16,11,4,
44,23,184,NA,NA,13,10.5,0.5,
45,23,184,NA,NA,13,10.3,0.2,
46,23,184,-201,-1,13,11.2,0.9,
47,23,184,-122,-1,13,12,0.8,
48,26,208,-109,-6,16,16,4,
49,21,168,-103,-6,11,14.2,1.8,
50,26,208,-201,-2,16,12,2.2,
,,,,,,,Jitter =,1.691836735
